Axis,Question,X,Y
A,利益をもたらす行動でも、それが道徳的に問題があると思うならば、その行動を避けるべきだと思いますか？,利益を優先する,道徳を優先する
A,あなたは個々の人々が道徳的に生きるべきだと思いますか？,個々の自由と利益を優先するべき,共有される道徳観を尊重して生きるべき
A,あなたが所属する社会は利益を追求するだけでなく、社会的、道徳的な責任も果たすべきだと思いますか？,利益追求を最優先するべき,社会的、道徳的責任を果たすべき
A,仲間が悪魔に襲われ、助けるか逃げるか迫られたとき、あなたは？,自分だけ逃げる,仲間を助ける
A,一見無害そうな悪魔があなたに近づいてきましたが、その悪魔は高価なアイテムを持っています。あなたは？,攻撃して奪う,話をして交渉する
A,あなたが助けを求める声を聞いた。しかし、それが罠である可能性もある。あなたは？,無視する,信じて助ける
A,あなたが倒した悪魔が、最後に慈悲を乞いました。あなたは？,完全に倒す,生きるチャンスを与える
B,あなたが立ち向かうべき壮大な魔物が町を襲い、町の人々は混乱しています。しかし、魔物を追い払うためには、町の一部を犠牲にしなければならない可能性があります。あなたの選択は……？,勝算はわからないが、信念に従い町を犠牲にせず戦いに挑む,確実に魔物を討つために、一部の町を最小限ではあるが犠牲にする
B,突如として町に現れた悪魔たちは人々に恐怖を与えています。しかし、悪魔たちと交渉することで彼らを制御下に置くことが可能です。この交渉は、ある程度の自由を彼らに許すことを意味します。あなたの選択は……？,悪魔との交渉は許されない。戦い続ける。,悪魔との交渉による平穏を優先する
B,あなたがたどり着いたのは絶えず争いの絶えない世界。公正さが全く無視され、力が全てを決める世界です。あなたはどうしますか？,公正さを守り抜く,この世界のルールに従う
B,あなたが旅の仲間と共に進む先に待つ試練。それは仲間の犠牲と世界の崩壊どちらかを選ばなければならない難題です。どちらも確実に救おうとするとどちらも救えなくなる可能性がありますが両方とも救える可能性もあります。どちらもかなりの損害が出る形にはなりますが両方救える方法もあります。あなたはどうしますか？,どちらも確実に救うことに賭けてみる,損害を想定してうまくバランスを取って救う
B,あなたは理想的な世界を追求します。それは絶対的な正しさを求めるものですか？それとも、それは状況に応じて柔軟にバランスをとるものですか？,絶対的正しさを求める,柔軟なバランス
B,あなたの前に複数の人々が飢えている光景が広がっています。原則的でシンプルなルールを決めそれに全員従わせますか（全員平等に配るもしくは徹底的に奪い合わせる）？それともひとりひとりの状況や資源を考慮した配分を行いますか？,食糧を全員同じルールに従い公正に分配する,個々の状況を考慮し配分する
D,"あなたは新たにグループのリーダーとなりました。人々の生活は困窮しており、皆があなたに解決を求めています。しかし、介入すればするほど、あなたの権力は増大します。あなたの選択は……？
",積極的に人々の生活改善に関与する,個々の自由を重視し、最小限の介入に留める
